t	 omega1 	 omega2 	 omega3
0.0	-0.0	9.29124377296	5.60283080557
0.00204081632653	-4.27302877995	9.11767104208	5.51439583926
0.00408163265306	-8.26361441715	8.62420600881	5.26448030159
0.00612244897959	-11.7589635911	7.88222027855	4.89349895076
0.00816326530612	-14.6518647297	6.98274382593	4.45335047029
0.0102040816327	-16.9345240141	6.01174207042	3.99374800469
0.0122448979592	-18.6664952357	5.03493327478	3.55385947711
0.0142857142857	-19.9384807802	4.09355384469	3.16003780795
0.0163265306122	-20.845104237	3.20725676932	2.82752278823
0.0183673469388	-21.4694749042	2.379705682	2.56364776485
0.0204081632653	-21.87683188	1.60404194316	2.37097416474
0.0224489795918	-22.1133888591	0.867102446602	2.24970943192
0.0244897959184	-22.2073369727	0.152292975503	2.1993154199
0.0265306122449	-22.1701521034	-0.558545520228	2.21942390904
0.0285714285714	-21.9972729471	-1.28382547671	2.31019178997
0.030612244898	-21.6678215269	-2.04099856631	2.4721611992
0.0326530612245	-21.143492811	-2.84498425393	2.70559793386
0.034693877551	-20.3672560911	-3.70578125763	3.00919866475
0.0367346938776	-19.2632831601	-4.62485104412	3.3780275672
0.0387755102041	-17.7406232335	-5.59012621714	3.80065214803
0.0408163265306	-15.7042664679	-6.57023693803	4.2558358563
0.0428571428571	-13.0772062139	-7.50998531525	4.70992859722
0.0448979591837	-9.83371425938	-8.33092864121	5.1171042431
0.0469387755102	-6.0355197013	-8.94161051977	5.42496624768
0.0489795918367	-1.85187808045	-9.2588906827	5.58632729976
0.0510204081633	2.45754347136	-9.2341916194	5.57373416099
0.0530612244898	6.60083529622	-8.871430617	5.38939815119
0.0551020408163	10.3283895265	-8.22550761726	5.06435761002
0.0571428571429	13.4861353504	-7.38233958023	4.64742187803
0.0591836734694	16.0265485211	-6.43260567627	4.19064444038
0.0612244897959	17.984893461	-5.45182007297	3.73832381161
0.0632653061224	19.4425206106	-4.49167891799	3.32227572462
0.065306122449	20.4949225607	-3.58048697301	2.96215791885
0.0673469387755	21.2313696742	-2.72805345548	2.66828637672
0.069387755102	21.7251349141	-1.93143744844	2.44492690244
0.0714285714286	22.0305481411	-1.17975711671	2.29305488536
0.0734693877551	22.183365761	-0.457613880033	2.21230313909
0.0755102040816	22.2021070816	0.252661924229	2.2021567315
0.0775510204082	22.0890723748	0.969517989702	2.26253579061
0.0795918367347	21.8304845307	1.71097961724	2.39386594398
0.0816326530612	21.3956907052	2.4932878327	2.59664989385
0.0836734693878	20.7358240138	3.3289174337	2.87046290663
0.0857142857143	19.7829675662	4.22352871976	3.21223496544
0.0877551020408	18.4518320748	5.17155123134	3.61371750298
0.0897959183673	16.6471547727	6.1505977347	4.05828164409
0.0918367346939	14.280707566	7.11603501582	4.5178038073
0.0938775510204	11.3001599439	7.99880167689	4.9513630058
0.0959183673469	7.72575789673	8.71102331588	5.30827871296
0.0979591836735	3.68013812373	9.16281141037	5.53736958883
0.1	-0.610867750495	9.28772889097	5.60103741351
