t	 omega1 	 omega2 	 omega3
0.0	-0.0	5.22173608098	3.14882533361
0.00204081632653	-3.85880217677	4.9659556691	3.10441479774
0.00408163265306	-7.25547182436	4.24902344138	2.98886494864
0.00612244897959	-9.87668577312	3.19303403892	2.84530898157
0.00816326530612	-11.5959267894	1.93263085741	2.72163134544
0.0102040816327	-12.4067058488	0.573948121505	2.65411503196
0.0122448979592	-12.3312832082	-0.809896429249	2.66066240572
0.0142857142857	-11.3668455893	-2.15768891076	2.73959561797
0.0163265306122	-9.49074649847	-3.39168551125	2.86970169236
0.0183673469388	-6.72317887082	-4.39958284691	3.01199033018
0.0204081632653	-3.21988250193	-5.04501636442	3.11797068682
0.0224489795918	0.673960314975	-5.21411917401	3.14747987926
0.0244897959184	4.48380044017	-4.87321722085	3.08871274491
0.0265306122449	7.76458861093	-4.08851823371	2.96491069066
0.0285714285714	10.2359350762	-2.98848013122	2.821529089
0.030612244898	11.7983640566	-1.70478258941	2.70535609708
0.0326530612245	12.4562687975	-0.337293695661	2.64978190676
0.034693877551	12.2299058035	1.04483175966	2.66937497795
0.0367346938776	11.1109913376	2.37950734635	2.75910185147
0.0387755102041	9.07838283754	3.58378941681	2.8944770867
0.0408163265306	6.16886215643	4.53948533933	3.03403460463
0.0428571428571	2.56918701605	5.10993163974	3.12921642931
0.0448979591837	-1.34538266958	5.19131661114	3.14346033867
0.0469387755102	-5.09287845248	4.7673347676	3.07105196761
0.0489795918367	-8.24955331627	3.91878552153	2.94038290163
0.0510204081633	-10.5683340958	2.77863864621	2.79858063177
0.0530612244898	-11.9743048138	1.4745616091	2.6909004379
0.0551020408163	-12.4800370591	0.100228862916	2.64769527155
0.0571428571429	-12.1024531188	-1.27843172995	2.68018685456
0.0591836734694	-10.8282662124	-2.59760304803	2.77998683336
0.0612244897959	-8.63998123287	-3.76867409723	2.91939526873
0.0632653061224	-5.59385471844	-4.66803661537	3.05475206128
0.065306122449	-1.90898950462	-5.16030866682	3.1380144603
0.0673469387755	2.01175862869	-5.15347188436	3.13681684969
0.069387755102	5.68419887667	-4.64889849827	3.05164008965
0.0714285714286	8.70955925787	-3.7405419083	2.91553684112
0.0734693877551	10.8738118628	-2.56409153984	2.77666925797
0.0755102040816	12.1239030277	-1.24235598352	2.67837821872
0.0775510204082	12.4780425216	0.136957273058	2.64787058979
0.0795918367347	11.9487853776	1.51035429596	2.69301527144
0.0816326530612	10.5186177592	2.81145812272	2.80207171659
0.0836734693878	8.17606378497	3.94564625526	2.94420865473
0.0857142857143	4.99967084745	4.78456933249	3.07390705448
0.0877551020408	1.24166989475	5.19583703334	3.14425618761
0.0897959183673	-2.67063794976	5.10082091081	3.127631889
0.0918367346939	-6.25609657753	4.51854483563	3.03070143801
0.0938775510204	-9.14395906007	3.55449432736	2.89062473731
0.0959183673469	-11.1523708631	2.34538630556	2.75598647972
0.0979591836735	-12.2473087994	1.00852736934	2.66788646154
0.1	-12.4502824911	-0.373977579998	2.65030656381
